,ts,rainfall,rainfall,wind
313,2019-07-28 02:13:12.438,0,0,335
314,2019-07-28 02:23:12.519,0,0,351
315,2019-07-28 02:33:12.690,0,0,309
316,2019-07-28 02:43:12.713,0,0,359
317,2019-07-28 02:53:12.340,0,0,334
318,2019-07-28 03:03:12.706,0,0,265
319,2019-07-28 03:13:12.772,0,0,247
320,2019-07-28 03:23:12.682,0,0,77
321,2019-07-28 03:33:13.075,0,0,38
322,2019-07-28 03:43:13.120,0,0,5
323,2019-07-28 03:53:13.246,0,0,168
324,2019-07-28 04:03:14.323,0,0,45
325,2019-07-28 04:13:13.421,0,0,5
326,2019-07-28 04:23:13.477,0,0,0
327,2019-07-28 04:33:13.270,0,0,0
328,2019-07-28 04:43:13.318,0,0,1
329,2019-07-28 04:53:13.463,0,0,0
330,2019-07-28 05:03:13.582,0,0,0
331,2019-07-28 05:13:13.693,0,0,0
332,2019-07-28 05:23:13.804,0,0,0
333,2019-07-28 05:33:13.921,0,0,0
334,2019-07-28 05:43:14.032,0,0,0
335,2019-07-28 05:53:14.129,0,0,0
336,2019-07-28 06:03:14.218,0,0,0
337,2019-07-28 06:13:14.319,0,0,4
338,2019-07-28 06:23:14.413,0,0,0
339,2019-07-28 06:33:14.523,0,0,64
340,2019-07-28 06:43:14.632,0,0,3
341,2019-07-28 06:53:14.867,0,0,22
342,2019-07-28 07:03:14.954,0,0,110
343,2019-07-28 07:13:15.049,0,0,61
344,2019-07-28 07:23:15.133,0,0,255
345,2019-07-28 07:33:14.989,0,0,119
346,2019-07-28 07:43:15.150,0,0,58
347,2019-07-28 07:53:15.728,0,0,119
348,2019-07-28 08:03:15.595,0,0,85
349,2019-07-28 08:13:15.663,0,0,8
350,2019-07-28 08:23:15.896,0,0,11
351,2019-07-28 08:33:15.904,0,0,80
352,2019-07-28 08:43:15.994,0,0,224
353,2019-07-28 08:53:15.996,0,0,60
354,2019-07-28 09:03:15.901,0,0,50
355,2019-07-28 09:13:16.273,0,0,2
356,2019-07-28 09:23:16.577,0,0,0
357,2019-07-28 09:33:16.185,0,0,1
358,2019-07-28 09:43:16.822,0,0,80
359,2019-07-28 09:53:16.672,0,0,298
360,2019-07-28 10:03:16.763,0,0,200
361,2019-07-28 10:13:16.840,0,0,100
362,2019-07-28 10:23:16.926,0,0,77
363,2019-07-28 10:33:17.060,0,0,48
364,2019-07-28 10:43:16.841,0,0,103
365,2019-07-28 10:53:17.282,0,0,260
366,2019-07-28 11:03:17.305,0,0,314
367,2019-07-28 11:13:17.426,0,0,673
368,2019-07-28 11:23:17.512,0,0,991
369,2019-07-28 11:33:17.317,0,0,998
370,2019-07-28 11:43:17.683,0,0,768
371,2019-07-28 11:53:17.810,0,0,912
372,2019-07-28 12:03:17.952,0,0,1047
373,2019-07-28 12:13:18.079,0,0,694
374,2019-07-28 12:23:18.206,0,0,1250
375,2019-07-28 12:33:18.278,0,0,827
376,2019-07-28 12:43:18.365,0,0,952
377,2019-07-28 12:53:18.451,0,0,1071
378,2019-07-28 13:03:18.494,0,0,811
379,2019-07-28 13:13:18.265,0,0,1420
380,2019-07-28 13:23:18.334,0,0,1449
381,2019-07-28 13:33:18.730,0,0,1410
382,2019-07-28 13:43:18.835,0,0,1153
383,2019-07-28 13:53:18.956,0,0,1478
384,2019-07-28 14:03:18.965,0,0,1050
385,2019-07-28 14:13:19.070,0,0,945
386,2019-07-28 14:23:19.172,0,0,814
387,2019-07-28 14:33:19.275,0,0,773
388,2019-07-28 14:43:19.434,0,0,657
389,2019-07-28 14:53:19.612,0,0,521
390,2019-07-28 15:03:19.459,0,0,634
391,2019-07-28 15:13:19.600,0,0,1002
392,2019-07-28 15:23:19.969,0,0,670
393,2019-07-28 15:33:20.050,0,0,1000
394,2019-07-28 15:43:20.169,0,0,1071
395,2019-07-28 15:53:20.275,0,0,775
396,2019-07-28 16:03:20.349,0,0,1314
397,2019-07-28 16:13:20.456,0,0,674
398,2019-07-28 16:23:20.307,0,0,290
399,2019-07-28 16:33:20.339,0,0,1091
400,2019-07-28 16:43:20.518,0,0,782
401,2019-07-28 16:53:20.517,0,0,875
402,2019-07-28 17:03:20.873,0,0,1496
403,2019-07-28 17:13:20.929,0,0,624
404,2019-07-28 17:23:20.887,0,0,984
405,2019-07-28 17:33:21.004,0,0,776
406,2019-07-28 17:43:21.078,0,0,1316
407,2019-07-28 17:53:21.251,0,0,1134
408,2019-07-28 18:03:21.362,0,0,677
409,2019-07-28 18:13:21.419,0,0,1036
410,2019-07-28 18:23:22.089,0,0,649
411,2019-07-28 18:33:21.804,0,0,658
412,2019-07-28 18:43:21.651,0,0,592
413,2019-07-28 18:53:21.918,0,0,633
414,2019-07-28 19:03:21.853,0,0,552
415,2019-07-28 19:13:21.992,0,0,464
416,2019-07-28 19:23:21.956,0,0,662
417,2019-07-28 19:33:22.302,0,0,728
418,2019-07-28 19:43:22.235,0,0,688
419,2019-07-28 19:53:22.360,0,0,634
420,2019-07-28 20:03:22.622,0,0,687
421,2019-07-28 20:13:22.730,0,0,513
422,2019-07-28 20:23:22.640,0,0,534
423,2019-07-28 20:33:22.910,0,0,470
424,2019-07-28 20:43:22.489,0,0,230
425,2019-07-28 20:53:22.932,0,0,209
426,2019-07-28 21:03:22.865,0,0,132
427,2019-07-28 21:13:22.942,0,0,419
428,2019-07-28 21:23:23.169,0,0,322
429,2019-07-28 21:33:23.286,0,0,335
430,2019-07-28 21:43:23.387,0,0,374
431,2019-07-28 21:53:23.643,0,0,344
432,2019-07-28 22:03:23.748,0,0,340
433,2019-07-28 22:13:23.657,0,0,355
434,2019-07-28 22:23:23.944,0,0,172
435,2019-07-28 22:33:23.615,0,0,77
436,2019-07-28 22:43:24.108,0,0,154
437,2019-07-28 22:53:24.303,0,0,15
438,2019-07-28 23:03:23.865,0,0,8
439,2019-07-28 23:13:24.419,0,0,46
440,2019-07-28 23:23:24.367,0,0,7
441,2019-07-28 23:33:25.188,0,0,11
442,2019-07-28 23:43:24.725,0,0,28
443,2019-07-28 23:53:24.676,0,0,10
444,2019-07-29 00:03:25.054,0,0,9
445,2019-07-29 00:13:25.053,0,0,9
446,2019-07-29 00:22:29.375,0,0,0
447,2019-07-29 00:32:29.660,0,0,654
448,2019-07-29 00:42:30.912,0,0,305
449,2019-07-29 00:52:29.440,0,0,199
450,2019-07-29 01:02:30.048,0,0,152
451,2019-07-29 01:12:29.943,0,0,66
452,2019-07-29 01:22:29.762,0,0,87
453,2019-07-29 01:32:30.346,0,0,76
454,2019-07-29 01:42:30.270,0,0,135
455,2019-07-29 01:52:30.361,0,0,164
456,2019-07-29 02:02:30.712,0,0,87
457,2019-07-29 02:12:30.621,0,0,0
458,2019-07-29 02:22:30.900,0,0,32
459,2019-07-29 02:32:30.997,0,0,27
460,2019-07-29 02:42:31.032,0,0,23
461,2019-07-29 02:52:31.137,0,0,108
462,2019-07-29 03:02:31.233,0,0,254
463,2019-07-29 03:12:31.331,0,0,43
464,2019-07-29 03:22:31.150,0,0,83
465,2019-07-29 03:32:31.047,0,0,60
466,2019-07-29 03:42:31.429,0,0,165
467,2019-07-29 03:52:31.715,0,0,234
468,2019-07-29 04:02:31.306,0,0,78
469,2019-07-29 04:12:31.890,0,0,123
470,2019-07-29 04:22:32.032,0,0,174
471,2019-07-29 04:32:31.909,0,0,32
472,2019-07-29 04:42:32.202,0,0,55
473,2019-07-29 04:52:31.736,0,0,175
474,2019-07-29 05:02:31.867,0,0,108
475,2019-07-29 05:12:31.953,0,0,34
476,2019-07-29 05:22:32.397,0,0,196
477,2019-07-29 05:32:32.666,0,0,187
478,2019-07-29 05:42:32.528,0,0,186
479,2019-07-29 05:52:32.669,0,0,131
480,2019-07-29 06:02:32.956,0,0,174
481,2019-07-29 06:12:33.161,0,0,181
482,2019-07-29 06:22:33.084,0,0,123
483,2019-07-29 06:32:32.944,0,0,154
